finalserialno,region,Constit_Code,Constit_Name,Interview_Date,total_num_dwel,total_num_hous,num_elig_people,turnoutValidationReg,Age,a01,a02,a03,e01,k01,k02,k03,k11,k13,k06,k08,y01,y03,y06,y07,y08,y09,y11,y17,y18
12018,East Midlands,Harborough,E14000728,23/09/2017,1,1,1,Voted,46.0,brexit,Labour,Fairly interested,6,3,No,,No,Yes,No,Yes,Refused,Rented from private landlord,Methodist,Less often,Yes: trade union,Female,Refused,Working full time -  employee (30+ hours),
12019,East Midlands,Harborough,E14000728,04/07/2017,1,1,1,Not voted-registered,94.0,financial,Conservatives,Fairly interested,7,6,No,,Yes,No,No,No,"GBP 5,200 - GBP 10,399",Own home outright,Methodist,Less often,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,No
12021,East Midlands,Harborough,E14000728,04/07/2017,1,1,2,Voted,63.0,immergration,Conservatives,Not very interested,10 Right,5,No,,No,Yes,No,No,"GBP 26,000 - GBP 31,199",Own home outright,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
12022,East Midlands,Harborough,E14000728,04/07/2017,1,1,2,,50.0,immergrants,None/No party,Not at all interested,Don`t know,0 Pay no attention,No,,No,No,No,Yes,"GBP 26,000 - GBP 31,199",Own home on mortgage,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working part time - self-employed (8-29 hours),
12025,East Midlands,Harborough,E14000728,04/07/2017,1,1,3,Voted,68.0,immergration,Conservatives,Very interested,Don`t know,5,Yes,Mail,No,Yes,No,No,"GBP 26,000 - GBP 31,199",Own home outright,Church of England/ Anglican/Episcopal,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
12318,East Midlands,Lincoln,E14000792,12/07/2017,1,1,2,Voted,24.0,maintaining a stabele future for the next generation and a strong moral ethic,None/No party,Fairly interested,4,5,Yes,Other,No,Yes,No,Yes,"GBP 50,000 - GBP 59,999",Rented from private landlord,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
12324,East Midlands,Lincoln,E14000792,21/08/2017,1,1,2,Voted,26.0,social  classes and the split between them,Labour,Fairly interested,2,7,No,,No,Yes,No,Yes,"GBP 26,000 - GBP 31,199",Rented from private landlord,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
12408,East Midlands,Lincoln,E14000792,20/07/2017,1,1,2,Voted,57.0,brexit how are we going to get with import and export,Conservatives,Fairly interested,5,7,No,,No,Yes,No,Yes,"GBP 40,000 - GBP 44,999",Own home outright,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
12415,East Midlands,Lincoln,E14000792,19/07/2017,1,1,1,Voted,64.0,amount of foreigners coming in the country,None/No party,Fairly interested,5,7,Yes,Sun,No,Yes,No,Yes,"GBP 10,400 - GBP 15,599",Own home outright,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
12419,East Midlands,Lincoln,E14000792,21/07/2017,1,1,2,Voted,53.0,immigration,Labour,Fairly interested,4,5,No,,No,Yes,Yes,Yes,"GBP 45,000 - GBP 49,999",Own home on mortgage,Church of England/ Anglican/Episcopal,Less often,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
12421,East Midlands,Lincoln,E14000792,08/07/2017,1,1,1,Voted,71.0,"immigration, on te back of the brexit vote, we choose to go out but now I think it is no longer in our interest to do so. it is not the end of the light in the tunnel now",Conservatives,Very interested,5,7,Yes,Express,No,Yes,Don`t know,No,"GBP 5,200 - GBP 10,399",Own home outright,Church of England/ Anglican/Episcopal,Less often,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
12516,East Midlands,Loughborou,E14000797,25/07/2017,1,1,1,Not voted-registered,71.0,"worried how Trump will lead a into a nuclear war, thinks Trump is trigger happy",Conservatives,Fairly interested,8,8,Yes,Sun,Yes,Yes,No,Yes,"GBP 20,800 - GBP 25,999",It belongs to a Housing Association,Church of England/ Anglican/Episcopal,Varies too much to say,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
12519,East Midlands,Loughborou,E14000797,25/07/2017,1,1,1,Not voted-registered,89.0,"problems with the NHS, nurses overworked",None/No party,Not at all interested,Don`t know,0 Pay no attention,No,,No,Don`t know,Don`t know,Don`t know,Don`t know,Rented from local authority,Church of England/ Anglican/Episcopal,Less often but at least once a month,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,No
12521,East Midlands,Loughborou,E14000797,27/07/2017,1,1,2,,57.0,wages and jobs,Labour,Not at all interested,3,2,No,,No,Yes,No,Yes,Refused,It belongs to a Housing Association,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Not working because temporarily sick or injured,Yes
12523,East Midlands,Loughborou,E14000797,20/07/2017,1,1,1,,64.0,Britain is a bloody mess.  Too many chiefs and not enough indians (the cowboy type!) Too many foreigners being let in,None/No party,Not very interested,5,5,Yes,Sun,No,No,No,No,"GBP 5,200 - GBP 10,399",Rented from local authority,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
12601,East Midlands,Loughborou,E14000797,27/07/2017,1,1,2,Voted,80.0,finance not enough money to go around,None/No party,Fairly interested,Don`t know,7,Yes,Times,No,Yes,No,No,"GBP 5,200 - GBP 10,399",Own home outright,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
12616,East Midlands,Loughborou,E14000797,12/08/2017,1,1,1,,80.0,"no money for the NHS, too many people, we are full",Conservatives,Not at all interested,5,1,No,,No,No,No,No,Don`t know,Rented from local authority,Christian - no denomination,Never or practically never,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
12617,East Midlands,Loughborou,E14000797,20/07/2017,1,1,1,,79.0,too many people we let too many people into our country and it is too small there sre not enough jobs for everyone,None/No party,Not at all interested,Don`t know,0 Pay no attention,No,,No,Yes,No,No,"GBP 5,200 - GBP 10,399",Own home outright,Church of England/ Anglican/Episcopal,Less often but at least once a month,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
12624,East Midlands,Loughborou,E14000797,25/07/2017,1,1,1,Voted,67.0,Brexit Government will take advantage to lose a lot of valiable legislation,None/No party,Very interested,2,9,Yes,Guardian/Observer,No,Yes,No,No,"GBP 26,000 - GBP 31,199",Own home outright,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
12717,East Midlands,Mansfield,E14000810,12/09/2017,1,1,2,,57.0,over poulation,None/No party,Not very interested,5,0 Pay no attention,No,,No,Yes,No,Yes,Don`t know,Rented from private landlord,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Not working because long-term sick or disabled,Yes
12718,East Midlands,Mansfield,E14000810,06/09/2017,1,1,2,,45.0,brexit,Labour,Very interested,3,6,Yes,Don't know,No,Yes,No,Yes,"GBP 20,800 - GBP 25,999",Own home on mortgage,Roman Catholic,Less often but at least once in two weeks,Yes: trade union,Female,Refused,Working full time -  employee (30+ hours),
12720,East Midlands,Mansfield,E14000810,07/09/2017,1,1,2,Voted,27.0,ecconmey,Labour,Not very interested,5,5,Yes,Sun,Yes,Yes,Yes,Yes,"GBP 10,400 - GBP 15,599",Rented from local authority,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time - self-employed (30+ hours),
12721,East Midlands,Mansfield,E14000810,07/09/2017,1,1,1,,86.0,too many imigrants,None/No party,Fairly interested,Don`t know,4,No,,Yes,Yes,No,No,Don`t know,Rented from local authority,Christian - no denomination,Less often,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,No
12724,East Midlands,Mansfield,E14000810,27/09/2017,1,1,1,Not voted-registered,57.0,brexit,Don`t know,Not at all interested,5,0 Pay no attention,No,,No,Yes,Yes,Yes,"GBP 10,400 - GBP 15,599",Own home on mortgage,Christian - no denomination,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time - self-employed (30+ hours),
12725,East Midlands,Mansfield,E14000810,07/09/2017,1,1,1,,62.0,foreigners coming into country,Labour,Not very interested,5,4,No,,Yes,Yes,No,Yes,Refused,Rented from local authority,Christian - no denomination,Less often but at least once in two weeks,No,Female,English/Welsh/Scottish/Northern Irish/British,Not working because long-term sick or disabled,Yes
12815,East Midlands,Mansfield,E14000810,06/09/2017,1,1,2,Voted,80.0,brexit,Conservatives,Not very interested,7,6,Yes,Express,No,Yes,No,No,Don`t know,Own home outright,Methodist,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
12816,East Midlands,Mansfield,E14000810,16/09/2017,1,1,1,Voted,71.0,brexit,Labour,Very interested,5,10 Pay a great deal of attention,Yes,Mail,No,Yes,No,Yes,"GBP 15,600 - GBP 20,799",Own home outright,Christian - no denomination,Once a week or more,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
12817,East Midlands,Mansfield,E14000810,25/09/2017,1,1,1,Voted,44.0,public moral,Conservatives,Fairly interested,6,10 Pay a great deal of attention,No,,Yes,Yes,No,No,Don`t know,Own home on mortgage,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
12821,East Midlands,Mansfield,E14000810,16/09/2017,1,1,2,Not voted-unregistered,46.0,uncertanty brexit,None/No party,Not very interested,5,2,No,,Don`t know,Yes,No,Yes,"GBP 45,000 - GBP 49,999",Own home on mortgage,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
13102,East Midlands,North East,E14000843,24/07/2017,1,1,2,Voted,72.0,"Influx of immigrants, who can in some cases can have raacist attitudes.",United Kingdom Independence Party (UKIP),Very interested,5,8,Yes,Sun,No,Yes,No,Yes,"GBP 20,800 - GBP 25,999",Own home outright,Roman Catholic,Less often but at least once a month,Yes: trade union,Male,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
13121,East Midlands,North East,E14000843,31/07/2017,1,1,3,Voted,48.0,"Brexit, ensuring we get the best deal, don't give in to all EU desires and make sure we're competitive to trade with the rest of the world",Conservatives,Very interested,10 Right,10 Pay a great deal of attention,Yes,Mail,No,Yes,No,No,"GBP 100,000 or more",Own home outright,Church of England/ Anglican/Episcopal,Less often but at least once a year,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
13124,East Midlands,North East,E14000843,25/07/2017,1,1,2,Voted,68.0,"Brexit, different peoples idea of what brexit is and what it's going to involve.",Conservatives,Fairly interested,8,10 Pay a great deal of attention,Yes,Telegraph,Yes,Yes,No,Yes,"GBP 31,200 - GBP 36,399",Own home outright,Baptist,Once a week or more,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
13202,East Midlands,North East,E14000843,24/07/2017,1,1,1,Voted,40.0,Brexit. Financial stability of the country,Conservatives,Fairly interested,5,5,No,,No,Yes,No,Yes,"GBP 60,000 - GBP 74,999",Own home on mortgage,Church of England/ Anglican/Episcopal,Less often but at least twice a year,No,Female,English/Welsh/Scottish/Northern Irish/British,Not working because temporarily sick or injured,Yes
13204,East Midlands,North East,E14000843,25/07/2017,1,1,1,Voted,72.0,"Brexit, there no one clever enough to lead",Liberal Democrats,Fairly interested,5,7,No,,No,Yes,No,No,"GBP 5,200 - GBP 10,399",Own home outright,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
13219,East Midlands,North East,E14000843,24/07/2017,1,1,2,Voted,50.0,Lack of funds,Conservatives,Very interested,6,8,Yes,Times,No,Yes,No,Yes,"GBP 100,000 or more",Own home on mortgage,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - self-employed (8-29 hours),
13220,East Midlands,North East,E14000843,14/08/2017,1,1,2,Voted,59.0,"Immigration, due to numbers coming in there are too many british nationals unemployed.",Conservatives,Fairly interested,7,7,Yes,Mail,No,Yes,No,Yes,"GBP 50,000 - GBP 59,999",Own home outright,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
13221,East Midlands,North East,E14000843,19/08/2017,1,1,2,Voted,36.0,"Poverty, personal debt issues",Labour,Fairly interested,3,7,Yes,Guardian/Observer,No,Yes,No,No,"GBP 45,000 - GBP 49,999",Own home on mortgage,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
13306,East Midlands,Northampto,E14000861,03/07/2017,1,1,2,Not voted-registered,72.0,sovereignty: we need to rule our own country:,Conservatives,Fairly interested,5,8,Yes,Mail,No,Yes,No,No,"GBP 20,800 - GBP 25,999",Own home outright,Jehovah witness,Once a week or more,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
13315,East Midlands,Northampto,E14000861,19/08/2017,1,1,2,,30.0,"division: which the referendum highlighted: even my friendship group I knew no-one who voted the same as me: quite surprised: I lived in London at the time, and saw a lot of division[racial discrimination: that the pre-referendum campaignin",Other,Fairly interested,3,7,Yes,Guardian/Observer,No,Yes,Yes,Yes,"GBP 50,000 - GBP 59,999",Own home on mortgage,Christian - no denomination,Once a week or more,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
13320,East Midlands,Northampto,E14000861,10/08/2017,1,1,1,Voted,63.0,the government:[p] the cutbacks: especially for the old/nurses/schools/carers/: the government do not do enough to help our country.,Labour,Fairly interested,5,8,No,,No,Yes,No,Yes,"GBP 2,600 - GBP 5,199",Rented from private landlord,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Looking after the family or home,Yes
13322,East Midlands,Northampto,E14000861,24/07/2017,1,1,2,Voted,58.0,"over-population, they are building everywhere, as in people-per-sq-mile we are very overpopulated",None/No party,Very interested,3,8,Yes,Independent/The i,Yes,Yes,No,Yes,Refused,Own home on mortgage,Christian - no denomination,Never or practically never,Yes: trade union,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
13415,East Midlands,Northampto,E14000861,01/08/2017,1,1,2,Voted,64.0,"i think poverty, really; especially people in public sector with salaries frozen for years, but the cost of living haas gone up; and the [apparently irrational] management of state benefits, such as child tax credits",None/No party,Fairly interested,5,8,Yes,Guardian/Observer,No,Yes,No,Yes,"GBP 36,400 - GBP 39,999",Own home outright,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
13416,East Midlands,Northampto,E14000861,19/07/2017,1,1,2,Voted,58.0,foreigners,Conservatives,Not at all interested,4,3,Yes,Sun,Yes,Yes,No,No,Don`t know,Own home outright,Church of England/ Anglican/Episcopal,Less often,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
13423,East Midlands,Northampto,E14000861,24/07/2017,1,1,2,Voted,33.0,Brexit: when we leave the EU we will be poorer,Scottish National Party (SNP),Fairly interested,5,10 Pay a great deal of attention,Yes,Independent/The i,Yes,Yes,Yes,Yes,"GBP 15,600 - GBP 20,799",Rented from private landlord,Islam/Muslim,Once a week or more,No,Male,Pakistani,Working full time - self-employed (30+ hours),
13425,East Midlands,Northampto,E14000861,15/09/2017,1,2,2,Voted,66.0,WE HAVE GOT THE GOVERNMENT WHO IS MORE INTERESTED IN PEOPLE WHO ALREADY GOT THE MONEY.,Labour,Very interested,1,10 Pay a great deal of attention,Yes,Don't know,Yes,Yes,No,Yes,"GBP 20,800 - GBP 25,999",Own home outright,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
13426,East Midlands,Northampto,E14000861,15/09/2017,1,2,2,Voted,62.0,"AUSTERITY AND FINANCIAL SITUATION, WE SHOULD CONTINUE WITH AUSTERITY",Labour,Fairly interested,3,8,Yes,Guardian/Observer,Yes,Yes,No,No,"GBP 26,000 - GBP 31,199",Own home outright,Methodist,Less often but at least once a month,Yes: trade union,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
